sku,name,category,description,specs,precio_lista,precio_efectivo,precio_transferencia,precio_mayorista,precio_mayorista_transferencia,cuotas,cuota_valor,timestamp,images
6737,Carrito de Playa Negro de Aluminio MOR (N°6737,Outdoor/Playa,"📏 Medidas: 84 cm x 48,3 cm x 1,11 m
🦾 Material: aluminio resistente",✅ Plegable y fácil de transportar,54708,46502,49237,45408,,,,2026-07-31T13:51:53,organized_images/6737_Carrito_de_Playa_Negro_de_Aluminio_MOR_N6737/6737_1.jpeg
6736,Carrito de Playa c/ Extensión p/ Conservadora MOR (N°6736 / N°6738,Outdoor/Playa,"🎨 Colores disponibles:
🔵 Azul (N°6736)
⚫ Negro (N°6738)","✅ Estructura de aluminio liviano
✅ Plegable y fácil de transportar
✅ Medidas: 84 × 48.3 × 111 cm
✅ Incluye extensión para conservadora",63119,53651,56807,52389,,,,2026-07-31T13:51:53,organized_images/6736_Carrito_de_Playa_c_Extensión_p_Conservadora_MOR_N6/6736_1.jpeg
9479,Lavarropas Drean Semiautomático 8 Kg Gris LTDR87SGO (N°9479,Lavarropas/Secarropas,🛒 Lavarropas Drean Semiautomático 8 Kg Gris LTDR87SGO (N°9479),,373343,317342,336009,309875,,,,2026-08-01T10:03:07,organized_images/9479_Lavarropas_Drean_Semiautomático_8_Kg_Gris_LTDR87SG/9479_1.jpeg|organized_images/9479_Lavarropas_Drean_Semiautomático_8_Kg_Gris_LTDR87SG/9479_2.jpeg
6231,Lavarropas Enova Carga Superior 6KG Blanco (N°6231,Lavarropas/Secarropas,,"✅ Capacidad de 6 kg
✅ Centrifugado 700 RPM
✅ 8 programas de lavado
✅ Medidas: 54 x 90,5 x 52 cm",422183,358856,366033,350412,,3,140728,2026-08-04T11:39:34,organized_images/6231_Lavarropas_Enova_Carga_Superior_6KG_Blanco_N6231/6231_1.jpeg|organized_images/6231_Lavarropas_Enova_Carga_Superior_6KG_Blanco_N6231/6231_2.jpeg|organized_images/6231_Lavarropas_Enova_Carga_Superior_6KG_Blanco_N6231/6231_3.jpeg
8575,𝗦𝗠𝗔𝗥𝗧 𝗧𝗩 𝗛𝗬𝗨𝗡𝗗𝗔𝗜 𝟲𝟱” 𝗤𝗟𝗘𝗗 𝗚𝗢𝗢𝗚𝗟𝗘 𝗧𝗩 - Cod.8575,TVs,"📺✨ 𝗦𝗠𝗔𝗥𝗧 𝗧𝗩 𝗛𝗬𝗨𝗡𝗗𝗔𝗜 𝟲𝟱” 𝗤𝗟𝗘𝗗 𝗚𝗢𝗢𝗚𝗟𝗘 𝗧𝗩 - Cod.8575  ✨📺
⚡ 𝗜𝗠𝗔𝗚𝗘𝗡 𝟰𝗞 𝗨𝗛𝗗 + 𝗖𝗢𝗟𝗢𝗥𝗘𝗦 𝗤𝗟𝗘𝗗
🎙️ 𝗖𝗢𝗡𝗧𝗥𝗢𝗟 𝗣𝗢𝗥 𝗩𝗢𝗭
📡 𝗪𝗜-𝗙𝗜 + 𝗕𝗟𝗨𝗘𝗧𝗢𝗢𝗧𝗛
🎮 𝟯 𝗣𝗨𝗘𝗥𝗧𝗢𝗦 𝗛𝗗𝗠𝗜 + 𝗨𝗦𝗕
🏷️ Llevando 3u IGUALES $985.370
🏷️ Llevando 3u IGUALES $930.699",🎬 Netflix • YouTube • Disney+ • Prime Video y más ⚽🔥,1117199,949619,1005479,927275,,3,372400,2026-08-01T10:04:32,organized_images/8575_𝗦𝗠𝗔𝗥𝗧_𝗧𝗩_𝗛𝗬𝗨𝗡𝗗𝗔𝗜_𝟲𝟱_𝗤𝗟𝗘𝗗_𝗚𝗢𝗢𝗚𝗟𝗘_𝗧𝗩_-_Cod8575/8575_1.jpeg
9449,Set de Vajillas Durax 12 Piezas Gema + Lunita (N°9449,Pequeños Electrodomésticos,🛒 Set de Vajillas Durax 12 Piezas Gema + Lunita (N°9449),,19871,16890,17884,16493,,,,2026-08-01T10:07:50,organized_images/9449_Set_de_Vajillas_Durax_12_Piezas_Gema__Lunita_N9449/9449_1.jpeg|organized_images/9449_Set_de_Vajillas_Durax_12_Piezas_Gema__Lunita_N9449/9449_2.jpeg
9448,Vaso Durax FourPack Facetado 400cc (N°9448,Pequeños Electrodomésticos,🛒 Vaso Durax FourPack Facetado 400cc (N°9448),,3794,3225,3415,3149,,,,2026-08-01T10:07:50,organized_images/9448_Vaso_Durax_FourPack_Facetado_400cc_N9448/9448_1.jpeg
9447,Vaso Durax SixPack Point (N°9447,Pequeños Electrodomésticos,🛒 Vaso Durax SixPack Point (N°9447),,3131,2661,2818,2599,,,,2026-08-01T10:07:50,organized_images/9447_Vaso_Durax_SixPack_Point_N9447/9447_1.jpeg
9446,Plato Durax Hondo Fénix Blanco (N°9446,Pequeños Electrodomésticos,🛒 Plato Durax Hondo Fénix Blanco (N°9446),,800,680,720,664,,,,2026-08-01T10:07:51,organized_images/9446_Plato_Durax_Hondo_Fénix_Blanco_N9446/9446_1.jpeg
9445,Plato Durax Playo Fénix Blanco (N°9445,Pequeños Electrodomésticos,🛒 Plato Durax Playo Fénix Blanco (N°9445),,800,680,720,664,,,,2026-08-01T10:07:51,organized_images/9445_Plato_Durax_Playo_Fénix_Blanco_N9445/9445_1.jpeg
9430,Escurridor Cool Bazar Cuadrado Negro A1248 (N°9430,Varios,🛒 Escurridor Cool Bazar Cuadrado Negro A1248 (N°9430),,20648,17551,18583,17138,,,,2026-08-01T10:07:51,organized_images/9430_Escurridor_Cool_Bazar_Cuadrado_Negro_A1248_N9430/9430_1.jpeg
9614,Heladera Drean No Frost Inverter 356 L Inox RZN356FXARX0 (N°9614,Heladeras/Freezers,🛒 Heladera Drean No Frost Inverter 356 L Inox RZN356FXARX0 (N°9614),,902047,766740,811842,748699,,,,2026-08-01T10:08:21,organized_images/9614_Heladera_Drean_No_Frost_Inverter_356_L_Inox_RZN356/9614_1.jpeg|organized_images/9614_Heladera_Drean_No_Frost_Inverter_356_L_Inox_RZN356/9614_2.jpeg
AUTO-20260801144718-294,Almohada ALTIOR Soft Esencial,Hogar/Baño,,,7987,6789,7188,6629,,3,2745,2026-08-01T14:47:18,organized_images/AUTO-20260801144718-294_Almohada_ALTIOR_Soft_Esencial/AUTO-20260801144718-294_1.jpeg
6322,Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Rosa (N°6322,Bicicletas,,,69528,59099,62575,57708,58862,,,2026-08-03T11:32:14,organized_images/6322_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/6322_1.jpeg
5748,Bicicleta Infantil Reforzada Nathor R12 con Rueditas Minnie Rosa (N°5748,Bicicletas,,,69528,59099,62575,57708,58862,,,2026-08-03T11:32:14,organized_images/5748_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/5748_1.jpeg
6323,Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Violeta (N°6323,Bicicletas,,,69528,59099,62575,57708,58862,,,2026-08-03T11:32:14,organized_images/6323_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/6323_1.jpeg
6325,Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Negro/Rojo (N°6325,Bicicletas,,,69528,59099,62575,57708,58862,,,2026-08-03T11:32:14,organized_images/6325_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/6325_1.jpeg
6518,Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Fire Man (N°6518,Bicicletas,🛒 Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Fire Man (N°6518),,69528,59099,62575,57708,58862,,,2026-08-03T11:32:14,organized_images/6518_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/6518_1.jpeg
6866,Bicicleta Fiat 500 Rodado 12 con Ruedas de Goma y Cantimplora Azul (N°6866,Bicicletas,,,59537,50606,53583,49416,50404,,,2026-08-03T11:32:14,organized_images/6866_Bicicleta_Fiat_500_Rodado_12_con_Ruedas_de_Goma_y_/6866_1.jpeg
6867,Bicicleta Fiat 500 Rodado 12 con Ruedas de Goma y Cantimplora Rosa (N°6867,Bicicletas,,,59537,50606,53583,49416,50404,,,2026-08-03T11:32:14,organized_images/6867_Bicicleta_Fiat_500_Rodado_12_con_Ruedas_de_Goma_y_/6867_1.jpeg
7815,Bicicleta Anderson Aluminio R29,Bicicletas,"🎨 Modelos disponibles:
🔴 Negro/Rojo S600 (N°7815 / 8449)
⚪ Negro/Blanco S600 (N°7792 / 7816 / 8448)
🔵 Negro/Azul A600 (N°7708 / 7794 / 7814)⛔
🌸 Negro/Rosa A600 (N°7813)⛔
⚫ Gris/Negro A600 (N°7795 / 7812 / 7793)⛔",,230147,195625,207132,191022,202258,,,2026-08-03T11:32:15,organized_images/7815_Bicicleta_Anderson_Aluminio_R29/7815_1.jpeg
9456,"Bicicleta Fiat 500 R29"" Marrón Topo/Naranja (N°9456",Bicicletas,"🛒 Bicicleta Fiat 500 R29"" Marrón Topo/Naranja (N°9456)",,264216,224584,237794,219299,,,,2026-08-03T11:32:15,organized_images/9456_Bicicleta_Fiat_500_R29_Marrón_TopoNaranja_N9456/9456_1.jpeg
9457,"Bicicleta Fiat 500 R29"" Gris L13Q 2129001MD (N°9457",Bicicletas,"🛒 Bicicleta Fiat 500 R29"" Gris L13Q 2129001MD (N°9457)",,264216,224584,237794,219299,,,,2026-08-03T11:32:15,organized_images/9457_Bicicleta_Fiat_500_R29_Gris_L13Q_2129001MD_N9457/9457_1.jpeg
6310,Bicicleta Corvo R27 Playera,Bicicletas,"🎨 Colores disponibles:
⚫ Negro (6310)
🟢  Verde agua
🏷️ Unidad $166.360","✅ Asiento ergonómico
✅ Estructura de acero
✅ Frenos V-Br",195718,166360,176146,162446,,3,65239,2026-08-03T11:32:15,organized_images/6310_Bicicleta_Corvo_R27_Playera/6310_1.jpeg
6289,Bicicleta Corvo Infantil 16,Bicicletas,🔘 (6289) GRIS,"✅ Horquilla de Acero
✅ Cuadro de Acero
✅ Manubrio de Acero
✅ Guardabarros en ambas ruedas",177973,151277,160175,147718,,3,59324,2026-08-03T11:32:15,organized_images/6289_Bicicleta_Corvo_Infantil_16/6289_1.jpeg
5706,Bicicleta R12 FIAT NEGRO/ GRIS - (N°5706,Bicicletas,,,59323,50425,53391,49416,52323,3,19774,2026-08-03T11:32:15,organized_images/5706_Bicicleta_R12_FIAT_NEGRO_GRIS_-_N5706/5706_1.jpeg
6324,Bicicleta Infantil Reforzada Nathor R12 con Rueditas y Cantimplora Verde (N°6324,Bicicletas,,,70918,60280,63826,58862,,,,2026-08-03T11:32:15,organized_images/6324_Bicicleta_Infantil_Reforzada_Nathor_R12_con_Ruedit/6324_1.jpeg
2993,Bicicleta Carrozada Rodado 16 (N°2993 / N°2992 / N°3795,Bicicletas,"🎨 Colores disponibles:
🟢 Verde
🔵 Azul
🟡 Amarillo",,175034,148779,157531,145278,148183,,,2026-08-03T11:32:15,organized_images/2993_Bicicleta_Carrozada_Rodado_16_N2993__N2992__N3795/2993_1.jpeg
6290,Bicicleta Corvo Infantil 16,Bicicletas,⚪ (6290) BLANCA,"✅ Horquilla de Acero
✅ Cuadro de Acero
✅ Manubrio de Acero
✅ Guardabarros en ambas ruedas",177973,151277,160175,147718,,3,59324,2026-08-03T11:32:15,organized_images/6290_Bicicleta_Corvo_Infantil_16/6290_1.jpeg
6291,"Bicicleta Corvo Infantil Paseo 16"" VIT-16ACECAN",Bicicletas,🟢 Verde Agua (6291),"✅ Cuadro de acero
✅ Incluye canasto
✅ Asiento trasero
✅ Llanta de aleación doble pared",201703,171447,181532,167413,,3,67234,2026-08-03T11:32:15,organized_images/6291_Bicicleta_Corvo_Infantil_Paseo_16_VIT-16ACECAN/6291_1.jpeg|organized_images/6291_Bicicleta_Corvo_Infantil_Paseo_16_VIT-16ACECAN/6291_2.jpeg
7703,Bicicleta Anderson Acero S400 R29,Bicicletas,"🎨 Modelos disponibles:
⚫🔴 Negro/Rojo (N°7703/7705)
⚫🔵 Negro/Azul (N°7701/7697)
⚙️⚫ Gris/Negro (N°7700/7704/7707)
⚫🌸 Negro/Rosa⛔ (N°7699/7706)
⚫⚪ Negro/Blanco (N°7698/7702/7709)",,212443,180577,191199,176328,179854,,,2026-08-03T11:32:15,organized_images/7703_Bicicleta_Anderson_Acero_S400_R29/7703_1.jpeg
AUTO-20260803113954-525,Secarropas Centrifigado 6kg 2800 Rpm Vitta Silver,Lavarropas/Secarropas,,,225433,191618,202890,187109,190852,3,75144,2026-08-03T11:39:54,organized_images/AUTO-20260803113954-525_Secarropas_Centrifigado_6kg_2800_Rpm_Vitta_Silver/AUTO-20260803113954-525_1.jpeg
AUTO-20260803113954-537,Secarropas Centrifigado 6kg 2800 Rpm Vitta Blanco,Lavarropas/Secarropas,,,213568,181533,192211,177261,180807,3,71189,2026-08-03T11:39:54,organized_images/AUTO-20260803113954-537_Secarropas_Centrifigado_6kg_2800_Rpm_Vitta_Blanco/AUTO-20260803113954-537_1.jpeg
7695,Celular Samsung A07 64 GB (N°7695,Celulares,🛒 Celular Samsung A07 64 GB (N°7695),,218433,185668,196590,181299,184925,,,2026-08-03T11:46:40,organized_images/7695_Celular_Samsung_A07_64_GB_N7695/7695_1.jpeg
8582,Celular Enova E10 3GB RAM / 32GB Blanco,Celulares,(8582),"* ✅ 3GB de RAM para un uso ágil y fluido
* ✅ 32GB de almacenamiento para tus apps y fotos
* ✅ Diseño compacto y práctico para el día a día",117646,99999,101999,97646,,3,39216,2026-08-03T11:46:41,organized_images/8582_Celular_Enova_E10_3GB_RAM__32GB_Blanco/8582_1.jpeg
AUTO-20260803133614-628,Paleta de Pádel Pro Cigio,Deportes,,,73528,62499,66175,61199,,3,24509,2026-08-03T13:36:14,organized_images/AUTO-20260803133614-628_Paleta_de_Pádel_Pro_Cigio/AUTO-20260803133614-628_1.jpeg
6900,Cama Elástica 1.8 Mts XPLAY IMZ-180VEPS (N°6900,Outdoor/Playa,"🛒 Cama Elástica 1.8 Mts XPLAY IMZ-180VEPS (N°6900)
🔒 Cierre en red de seguridad
🛡️ Red de seguridad interna
🔩 36 resortes reforzados
🦵 3 patas de hierro resistentes",,206428,175400,178973,171335,,3,68809,2026-08-03T13:49:23,organized_images/6900_Cama_Elástica_18_Mts_XPLAY_IMZ-180VEPS_N6900/6900_1.jpeg
6902,"Cama Elástica 2,44 Mts XPLAY IMZ-244VEPS (N°6902",Outdoor/Playa,"🛒 Cama Elástica 2,44 Mts XPLAY IMZ-244VEPS (N°6902)",,274520,233342,247068,227852,,,,2026-08-03T13:50:23,organized_images/6902_Cama_Elástica_244_Mts_XPLAY_IMZ-244VEPS_N6902/6902_1.jpeg
6556,Juego de Tobogán Rotomoldeado 3 Escalones XPLAY NRA 203S (N°6556,Outdoor/Playa,🛒 Juego de Tobogán Rotomoldeado 3 Escalones XPLAY NRA 203S (N°6556),,85020,72267,76518,70567,,,,2026-08-03T13:51:00,organized_images/6556_Juego_de_Tobogán_Rotomoldeado_3_Escalones_XPLAY_NR/6556_1.jpeg
6557,Juego de Tobogán Rotomoldeado 4 Escalones XPLAY (N°6557,Outdoor/Playa,🛒 Juego de Tobogán Rotomoldeado 4 Escalones XPLAY (N°6557),,187025,158971,168322,155231,,,,2026-08-03T13:52:20,organized_images/6557_Juego_de_Tobogán_Rotomoldeado_4_Escalones_XPLAY_N6/6557_1.jpeg
6973,Tobogán Plegable 4 Escalones Naranja-Celeste Agua NRA-204-AGUA (N°6973,Outdoor/Playa,🛒 Tobogán Plegable 4 Escalones Naranja-Celeste Agua NRA-204-AGUA (N°6973),,216154,183731,194539,179408,,,,2026-08-03T13:52:44,organized_images/6973_Tobogán_Plegable_4_Escalones_Naranja-Celeste_Agua_/6973_1.jpeg
6899,"Cama Elástica 1,40 Mts XPLAY IMZ-140MUBB (N°6899",Outdoor/Playa,"🛒 Cama Elástica 1,40 Mts XPLAY IMZ-140MUBB (N°6899)",,133605,113564,120244,110892,,,,2026-08-03T13:56:08,organized_images/6899_Cama_Elástica_140_Mts_XPLAY_IMZ-140MUBB_N6899/6899_1.jpeg
6559,"Juego de Hamaca Gemela 1,40 Mts XPLAY (N°6559",Outdoor/Playa,"🛒 Juego de Hamaca Gemela 1,40 Mts XPLAY (N°6559)",,114151,97028,102736,94745,,,,2026-08-03T13:59:08,organized_images/6559_Juego_de_Hamaca_Gemela_140_Mts_XPLAY_N6559/6559_1.jpeg
351,Heladera Auto Defrost Briket BK2F 1310 Blanca 257 L (N°351,Heladeras/Freezers,🛒 Heladera Auto Defrost Briket BK2F 1310 Blanca 257 L (N°351),,655142,556871,589628,543768,554643,,,2026-08-04T09:41:29,organized_images/351_Heladera_Auto_Defrost_Briket_BK2F_1310_Blanca_257_/351_1.jpeg
6649,Heladera Telefunken One Door con Dispenser 260 L Silver (N°6649,Heladeras/Freezers,,,476313,404866,428682,395340,403247,,,2026-08-04T09:41:30,organized_images/6649_Heladera_Telefunken_One_Door_con_Dispenser_260_L_S/6649_1.jpeg
2334,Heladera Briket Bajo Mesada BK1F 1010 Blanca (N°2334,Heladeras/Freezers,🛒 Heladera Briket Bajo Mesada BK1F 1010 Blanca (N°2334),,421048,357891,378943,349470,,3,140349,2026-08-04T09:41:30,organized_images/2334_Heladera_Briket_Bajo_Mesada_BK1F_1010_Blanca_N2334/2334_1.jpeg
5671,Frigobar Telefunken 50L TFK-R50GEB,Heladeras/Freezers,"🎨 Colores disponibles:
⚪ Blanco (N°5671)
⚫ Negro (N°5758)
🔴 Rojo (N°5757)
🔘 Gris (N°5756)
🏷️ Minorista $198.809
📲 11 6795-8796",,220899,187764,198809,194391,,,,2026-08-04T09:41:30,organized_images/5671_Frigobar_Telefunken_50L_TFK-R50GEB/5671_1.jpeg
AUTO-20260804094130-821,Heladera Enova freezer sup. De-frost 113lts Gris,Heladeras/Freezers,🛒 Heladera Enova freezer sup. De-frost 113lts Gris,,445782,378915,401204,369999,385100,,,2026-08-04T09:41:30,organized_images/AUTO-20260804094130-821_Heladera_Enova_freezer_sup_De-frost_113lts_Gris/AUTO-20260804094130-821_1.jpeg
5952,Freezer Horizontal Midea Inverter 194l Color Blanco (N°5952,Heladeras/Freezers,🛒 Freezer Horizontal Midea Inverter 194l Color Blanco (N°5952),,631270,536580,568143,523954,,,,2026-08-04T09:41:30,organized_images/5952_Freezer_Horizontal_Midea_Inverter_194l_Color_Blanc/5952_1.jpeg
5123,Cocina Industrial Usman Win Compact 52CM 4H P/V (N°5123,Cocinas/Hornos/Microondas,🛒 Cocina Industrial Usman Win Compact 52CM 4H P/V (N°5123),,360096,306082,324086,298880,304858,,,2026-08-04T09:43:28,organized_images/5123_Cocina_Industrial_Usman_Win_Compact_52CM_4H_PV_N51/5123_1.jpeg
2220,Cocina Industrial Usman Irina Pta. Vidrio 550 (2220) (N°6870,Cocinas/Hornos/Microondas,"📲 11 6795-8796
📊 Post 85/60",,583484,495961,525136,484292,505803,,,2026-08-04T09:43:28,organized_images/2220_Cocina_Industrial_Usman_Irina_Pta_Vidrio_550_2220_/2220_1.jpeg
6091,Cocina Electrica Kanji 50x50 (6091/6093,Cocinas/Hornos/Microondas,📲 11 6795-8796,,400120,340102,360108,332100,351636,,,2026-08-04T09:43:28,organized_images/6091_Cocina_Electrica_Kanji_50x50_60916093/6091_1.jpeg
5109,Cocina Eléctrica Vitta Negra 50X50 VIT-EKB001V (N°5109,Cocinas/Hornos/Microondas,📲 11 6795-8796,,398857,339028,358971,331051,350524,,,2026-08-04T09:43:28,organized_images/5109_Cocina_Eléctrica_Vitta_Negra_50X50_VIT-EKB001V_N51/5109_1.jpeg
8391,Microondas Smartlife 23 Litros Digital con Grill Color Negro SL-MVO23MDGB (N°8391,Cocinas/Hornos/Microondas,🛒 Microondas Smartlife 23 Litros Digital con Grill Color Negro SL-MVO23MDGB (N°8391),,194740,165529,175266,161634,164867,,,2026-08-04T09:53:56,organized_images/8391_Microondas_Smartlife_23_Litros_Digital_con_Grill_C/8391_1.jpeg
5292,Freidora de Aire Vitta 6.5 Lts Digital AFR-1501 (N°5292,Pequeños Electrodomésticos,,,71340,60639,64206,59212,60396,,,2026-08-04T09:53:56,organized_images/5292_Freidora_de_Aire_Vitta_65_Lts_Digital_AFR-1501_N52/5292_1.jpeg
5709,Freidora de Aire Vitta 2200W 11.8L Doble Canasto Digital Negro (N°5709,Pequeños Electrodomésticos,,,178511,151734,160660,148164,151127,,,2026-08-04T09:53:56,organized_images/5709_Freidora_de_Aire_Vitta_2200W_118L_Doble_Canasto_Di/5709_1.jpeg
5947,Freidora de Aire Futura Home 9.1L 1700W Sin Aceite Digital Negro (N°5947,Pequeños Electrodomésticos,,,120025,102021,108022,99621,101613,,,2026-08-04T09:53:56,organized_images/5947_Freidora_de_Aire_Futura_Home_91L_1700W_Sin_Aceite_/5947_1.jpeg
6163,"Freidora de Aire Vitta Sin Aceite 11,8 Litros 1600 Watts - Gris (N°6163",Pequeños Electrodomésticos,,,108749,92437,97874,90262,92067,,,2026-08-04T09:53:56,organized_images/6163_Freidora_de_Aire_Vitta_Sin_Aceite_118_Litros_1600_/6163_1.jpeg
6647,Freidora de Aire Sin Aceite Midow 3.5 Lts 1200W Display LED Blanca (N°6647,Pequeños Electrodomésticos,,,50053,42545,45048,41544,42375,,,2026-08-04T09:53:56,organized_images/6647_Freidora_de_Aire_Sin_Aceite_Midow_35_Lts_1200W_Dis/6647_1.jpeg
6648,Freidora De Aire Sin Aceite Midow 3.5 Lts 1200w Display Led Negro (N°6648,Pequeños Electrodomésticos,,,50053,42545,45048,41544,42375,,,2026-08-04T09:53:56,organized_images/6648_Freidora_De_Aire_Sin_Aceite_Midow_35_Lts_1200w_Dis/6648_1.jpeg
9063,"Freidora SMARTLIFE De Aire De 4,2L Digital (SL-AF90001) (N°9063",Pequeños Electrodomésticos,,,66092,56178,59483,54856,55954,,,2026-08-04T09:53:56,organized_images/9063_Freidora_SMARTLIFE_De_Aire_De_42L_Digital_SL-AF900/9063_1.jpeg
5290,Freidora de Aire Vitta 8Lts. Digital AFR-1701 (N°5290,Pequeños Electrodomésticos,,,80824,68700,72742,67084,68426,,,2026-08-04T09:53:56,organized_images/5290_Freidora_de_Aire_Vitta_8Lts_Digital_AFR-1701_N5290/5290_1.jpeg
5126,Microondas Vitta Mecánico 23L VIT-MW2XLX002 700W Blanco (N°5126,Cocinas/Hornos/Microondas,,,112123,95305,100911,93062,94923,,,2026-08-04T09:53:56,organized_images/5126_Microondas_Vitta_Mecánico_23L_VIT-MW2XLX002_700W_B/5126_1.jpeg
5127,Microondas Vitta Digital 23L VIT-MW2XLX001 1000W Blanco (N°5127,Cocinas/Hornos/Microondas,,,113407,96396,102066,94128,96011,,,2026-08-04T09:53:56,organized_images/5127_Microondas_Vitta_Digital_23L_VIT-MW2XLX001_1000W_B/5127_1.jpeg
7097,Microondas Microsonic Digital Panel Táctil 23 Lts. 1000w (N°7097,Cocinas/Hornos/Microondas,,,119077,101215,107169,98834,100810,,,2026-08-04T09:53:57,organized_images/7097_Microondas_Microsonic_Digital_Panel_Táctil_23_Lts_/7097_1.jpeg
